url,price,size,location,bedrooms,bathrooms,parking,scraped_at
https://www.property24.com/for-sale/klein-drakenstein/paarl/western-cape/8591/115804265,R 795 000,60 m²,Klein Drakenstein,2,1,1,2025-05-14T14:20:54.310285
https://www.property24.com/for-sale/paarl-rural/paarl/western-cape/16578/112122999,R 11 600 000,11.632 ha,Paarl Rural,N/A,N/A,N/A,2025-05-14T14:20:54.351884
https://www.property24.com/for-sale/klein-parys/paarl/western-cape/8605/113815823,R 2 995 000,239 m²,Klein Parys,2,2,3,2025-05-14T14:20:54.460342
https://www.property24.com/for-sale/val-de-vie-estate/paarl/western-cape/11726/115910703,,,,,,,2025-05-14T14:20:54.552063
https://www.property24.com/for-sale/groenheuwel/paarl/western-cape/8600/115594443,R 1 350 000,227 m²,Groenheuwel,3,2,2,2025-05-14T14:20:54.641667
https://www.property24.com/for-sale/courtrai/paarl/western-cape/8594/115800323,R 4 495 000,602 m²,Courtrai,N/A,N/A,N/A,2025-05-14T14:20:54.692384
https://www.property24.com/for-sale/buitenverwagting/paarl/western-cape/16388/115690707,R 8 000 000,820 m²,Buitenverwagting,5,2.5,4,2025-05-14T14:20:54.775643
https://www.property24.com/for-sale/pearl-valley-golf-and-country-estate/paarl/western-cape/11772/115562598,R 12 500 000,3 935 m²,Pearl Valley Golf & Country Estate,N/A,N/A,N/A,2025-05-14T14:20:54.826821
https://www.property24.com/for-sale/courtrai/paarl/western-cape/8594/115809640,R 4 300 000,755 m²,Courtrai,4,3,4,2025-05-14T14:20:54.910527
https://www.property24.com/for-sale/lemoenkloof/paarl/western-cape/8607/115863144,R 1 640 000,248 m²,Lemoenkloof,N/A,N/A,N/A,2025-05-14T14:20:54.958206
https://www.property24.com/for-sale/klein-parys/paarl/western-cape/8605/115578828,R 780 000,41 m²,Klein Parys,1,1,1,2025-05-14T14:20:55.042068
https://www.property24.com/for-sale/lemoenkloof/paarl/western-cape/8607/115565736,R 2 500 000,428 m²,Lemoenkloof,N/A,N/A,N/A,2025-05-14T14:20:55.093650
https://www.property24.com/for-sale/bertville/paarl/western-cape/16389/115531029,R 7 299 000,814 m²,Bertville,4,4,3,2025-05-14T14:20:55.197643
https://www.property24.com/for-sale/val-de-vie-estate/paarl/western-cape/11726/115709985,R 16 250 000,1 467 m²,Val de Vie Estate,5,4,2,2025-05-14T14:20:55.277072
https://www.property24.com/for-sale/pearl-valley-golf-and-country-estate/paarl/western-cape/11772/115643769,R 5 500 000,758 m²,Pearl Valley Golf & Country Estate,N/A,N/A,N/A,2025-05-14T14:20:55.342108
https://www.property24.com/for-sale/val-de-vie-estate/paarl/western-cape/11726/115883901,R 4 750 000,82 m²,Val de Vie Estate,1,1,1,2025-05-14T14:20:55.425339
